feature	filename	source	accession
CEBPB	wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk.narrowPeak	ENCODE	GSE31477
CHD1	wgEncodeSydhTfbsImr90Chd1nb10060411IggrabPk.narrowPeak	ENCODE	GSE31477
CTCF	wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk.narrowPeak	ENCODE	GSE31477
DNase-seq	E017-DNase.hotspot.fdr0.01.broad.bed	Roadmap Epigenomics	GSE18927
EP300	EP300-LICR_peaks.narrowPeak	Jin et al.	GSE43070
H2AK5ac	E017-H2AK5ac.broadPeak	Roadmap Epigenomics	GSE16256
H2AK9ac	E017-H2AK9ac.broadPeak	Roadmap Epigenomics	GSE16256
MacroH2A1.1	GSM1325070_m1_c_.In.101118.P0.01.G.1000.gappedPeak	Chen et al. ​MacroH2A1.1 and ​PARP-1 cooperate to regulate transcription by promoting ​CBP-mediated H2B acetylation	GSE54847
H2AZ	E017-H2A.Z.broadPeak	Roadmap Epigenomics	GSE16256
H2BK120ac	E017-H2BK120ac.broadPeak	Roadmap Epigenomics	GSE16256
H2BK12ac	E017-H2BK12ac.broadPeak	Roadmap Epigenomics	GSE16256
H2BK15ac	E017-H2BK15ac.broadPeak	Roadmap Epigenomics	GSE16256
H2BK20ac	E017-H2BK20ac.broadPeak	Roadmap Epigenomics	GSE16256
H2BK5ac	E017-H2BK5ac.broadPeak	Roadmap Epigenomics	GSE16256
H3K14ac	E017-H3K14ac.broadPeak	Roadmap Epigenomics	GSE16256
H3K18ac	E017-H3K18ac.broadPeak	Roadmap Epigenomics	GSE16256
H3K23ac	E017-H3K23ac.broadPeak	Roadmap Epigenomics	GSE16256
H3K27ac	E017-H3K27ac.broadPeak	Roadmap Epigenomics	GSE16256
H3K27me3	E017-H3K27me3.broadPeak	Roadmap Epigenomics	GSE16256
H3K36me3	E017-H3K36me3.broadPeak	Roadmap Epigenomics	GSE16256
H3K4ac	E017-H3K4ac.broadPeak	Roadmap Epigenomics	GSE16256
H3K4me1	E017-H3K4me1.broadPeak	Roadmap Epigenomics	GSE16256
H3K4me2	E017-H3K4me2.broadPeak	Roadmap Epigenomics	GSE16256
H3K4me3	E017-H3K4me3.broadPeak	Roadmap Epigenomics	GSE16256
H3K56ac	E017-H3K56ac.broadPeak	Roadmap Epigenomics	GSE16256
H3K79me1	E017-H3K79me1.broadPeak	Roadmap Epigenomics	GSE16256
H3K79me2	E017-H3K79me2.broadPeak	Roadmap Epigenomics	GSE16256
H3K9ac	E017-H3K9ac.broadPeak	Roadmap Epigenomics	GSE16256
H3K9me1	E017-H3K9me1.broadPeak	Roadmap Epigenomics	GSE16256
H3K9me3	E017-H3K9me3.broadPeak	Roadmap Epigenomics	GSE16256
H4K20me1	E017-H4K20me1.broadPeak	Roadmap Epigenomics	GSE16256
H4K5ac	E017-H4K5ac.broadPeak	Roadmap Epigenomics	GSE16256
H4K8ac	E017-H4K8ac.broadPeak	Roadmap Epigenomics	GSE16256
H4K91ac	E017-H4K91ac.broadPeak	Roadmap Epigenomics	GSE16256
LMNB1	LMNB1-Otte_peaks.narrowPeak	Otte et al.	GSE53332
MAFK	wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk.narrowPeak	ENCODE	GSE31477
MAZ	wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak	ENCODE	GSE31477
MECP2	MECP2-Maunakea_peaks.narrowPeak	Maunakea et al.	GSE47678
MXI1	wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak	ENCODE	GSE31477
POLR2A	wgEncodeAwgTfbsSydhImr90Pol2IggrabUniPk.narrowPeak	ENCODE	GSE31477
RAD21	wgEncodeAwgTfbsSydhImr90Rad21IggrabUniPk.narrowPeak	ENCODE	GSE31477
RB1	RB1-Chicas_peaks.narrowPeak	Chicas et al.	GSE19899
RBL2	RBL2-Chicas_peaks.narrowPeak	Chicas et al.	GSE19899
RCOR1	wgEncodeSydhTfbsImr90Corestsc30189IggrabPk.narrowPeak	ENCODE	GSE31477
RELA	RELA-LICR_peaks.narrowPeak	Jin et al.	GSE43070
RFX5	wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak	ENCODE	GSE31477
YAP1	YAP1-Stein_peaks.narrowPeak	Stein et al.	GSE61852
